"id_autor"|"autor"
"0"|"Zoe Lee"
"1"|"Nora Patel"
"2"|"Grace Liu"
"3"|"Lily Wang"
"4"|"Madison Wong"
"5"|"Isabella Nguyen"
"6"|"Victoria Singh"
"7"|"Mia Gupta"
"8"|"Ethan Hayes"
"9"|"Sin autor"
"10"|"Gabriel Santos"
"11"|"Emily Parker"
"12"|"Owen Rodriguez"
"13"|"Daniel Patel"
"14"|"Amelia Rivera"
"15"|"William Kumar"
"16"|"Michael Sharma"
"17"|"Sophie Chen"
"18"|"Benjamin Singh"
"19"|"Lucas Kim"
"20"|"Chloe Nguyen"
"21"|"Avery Kim"
"22"|"Aria Shah"
"23"|"Noah Khan"
"24"|"Xavier Chang"
"25"|"Samantha Chen"
"26"|"Ava Murphy"
"27"|"Ella Sharma"
"28"|"Olivia Kumar"
"29"|"Caleb Shah"
"30"|"Alexander Lee"
"31"|"Logan Wong"
"32"|"Jacob Gupta"
"33"|"Maxwell Rivera"
"34"|"Marcus Liu"
